timestamp,id_medicion,temperatura_C,humedad_relativa_pct,CO2_ppm,PM1_ug_m3,PM2_5_ug_m3,PM4_ug_m3,PM10_ug_m3,latitude,longitude,elevation,status
2026-01-27T14:33:53+00:00,2228,19.69923,68.16534,602.0,1.540824,2.398046,3.058952,3.368245,,,,
2026-01-27T14:34:15+00:00,2229,19.67778,68.21875,603.0,1.434734,2.230615,2.844022,3.131085,,,,
2026-01-27T14:34:38+00:00,2230,19.65633,68.35608,605.0,1.21858,1.858191,2.347917,2.577101,,,,
2026-01-27T14:35:00+00:00,2231,19.65633,68.3866,603.0,1.178549,1.799587,2.275323,2.497959,,,,
2026-01-27T14:35:23+00:00,2232,19.65633,68.5163,600.0,1.48032,2.256248,2.850246,3.128228,,,,
2026-01-27T14:35:45+00:00,2233,19.65633,68.54681,600.0,2.041454,3.078303,3.868917,4.238912,,,,
2026-01-27T14:36:07+00:00,2234,19.65633,68.33319,597.0,1.48427,2.217666,2.774903,3.03568,,,,
2026-01-27T14:36:30+00:00,2235,19.65633,68.54681,600.0,1.377289,2.070361,2.598213,2.845238,,,,
2026-01-27T14:36:52+00:00,2236,19.65633,68.5697,596.0,1.396712,2.094482,2.625412,2.873879,,,,
2026-01-27T14:37:15+00:00,2237,19.65633,68.46289,592.0,1.749781,2.617699,3.277479,3.586244,,,,
2026-01-27T14:37:37+00:00,2238,19.65633,68.63074,595.0,1.29677,1.946427,2.440928,2.672346,,,,
2026-01-27T14:38:00+00:00,2239,19.65633,68.68414,592.0,1.557853,2.357517,2.968095,3.253835,,,,
2026-01-27T14:38:22+00:00,2240,19.65633,68.65363,591.0,1.542514,2.326604,2.924548,3.204376,,,,
2026-01-27T14:38:45+00:00,2241,19.65633,68.63074,589.0,1.587988,2.37579,2.974678,3.254948,,,,
2026-01-27T14:39:07+00:00,2242,19.65633,68.70703,589.0,1.45241,2.180203,2.734197,2.993456,,,,
2026-01-27T14:39:30+00:00,2243,19.64561,68.76044,591.0,1.077636,1.616927,2.027364,2.21944,,,,
2026-01-27T14:39:52+00:00,2244,19.62416,68.79095,592.0,1.054532,1.578884,1.977618,2.164218,,,,
2026-01-27T14:40:15+00:00,2245,19.61343,68.76044,588.0,1.260001,1.884599,2.359371,2.581557,,,,
2026-01-27T14:40:37+00:00,2246,19.60271,68.72992,586.0,1.526179,2.276845,2.846858,3.113615,,,,
2026-01-27T14:40:59+00:00,2247,19.59198,68.78333,583.0,1.549791,2.292267,2.854073,3.116989,,,,
2026-01-27T14:41:22+00:00,2248,19.59198,68.81384,581.0,1.185506,1.753148,2.182632,2.383623,,,,
2026-01-27T14:41:44+00:00,2249,19.59198,68.83673,580.0,1.374411,2.016635,2.50091,2.727543,,,,
2026-01-27T14:42:07+00:00,2250,19.58126,68.95117,581.0,1.423371,2.105249,2.621199,2.862656,,,,
2026-01-27T14:42:29+00:00,2251,19.57053,68.95117,581.0,1.233513,1.831696,2.285065,2.497234,,,,
2026-01-27T14:42:52+00:00,2252,19.57053,68.89777,576.0,1.805522,2.639913,3.268112,3.562099,,,,
2026-01-27T14:43:14+00:00,2253,19.55981,68.43237,578.0,1.406561,2.060985,2.554161,2.784959,,,,
2026-01-27T14:43:37+00:00,2254,19.54908,68.76044,576.0,1.409114,2.074597,2.577155,2.812344,,,,
2026-01-27T14:43:59+00:00,2255,19.54908,68.83673,575.0,1.664916,2.43765,3.019783,3.292212,,,,
2026-01-27T14:44:22+00:00,2256,19.54908,68.83673,575.0,1.280675,1.876386,2.3253,2.535383,,,,
2026-01-27T14:44:44+00:00,2257,19.54908,68.92065,572.0,1.218984,1.79383,2.227852,2.430967,,,,
2026-01-27T14:45:06+00:00,2258,19.53835,69.00458,565.0,1.081253,1.601748,1.995844,2.180274,,,,
2026-01-27T14:45:29+00:00,2259,19.53835,68.78333,566.0,1.484958,2.203006,2.747011,3.001596,,,,
2026-01-27T14:45:51+00:00,2260,19.52763,68.97406,561.0,1.390863,2.057871,2.562642,2.798866,,,,
2026-01-27T14:46:14+00:00,2261,19.52763,69.02747,560.0,1.42927,2.108908,2.62264,2.863059,,,,
2026-01-27T14:46:36+00:00,2262,19.52763,68.89777,558.0,1.42467,2.123376,2.65373,2.901927,,,,
2026-01-27T14:46:59+00:00,2263,19.51691,68.76044,561.0,1.160814,1.736927,2.174914,2.379884,,,,
2026-01-27T14:47:21+00:00,2264,19.51691,69.00458,563.0,0.9985199,1.481975,1.848312,2.019751,,,,
2026-01-27T14:47:43+00:00,2265,19.51691,69.02747,563.0,1.333773,1.977153,2.464429,2.692466,,,,
2026-01-27T14:48:06+00:00,2266,19.50618,68.86725,562.0,1.271227,1.905695,2.388399,2.614296,,,,
2026-01-27T14:48:28+00:00,2267,19.50618,68.95117,558.0,1.137533,1.706843,2.140131,2.342902,,,,
2026-01-27T14:48:51+00:00,2268,19.50618,69.00458,558.0,1.590615,2.360754,2.944326,3.217428,,,,
2026-01-27T14:49:13+00:00,2269,19.50618,69.02747,556.0,1.255086,1.852175,2.303538,2.514768,,,,
2026-01-27T14:49:36+00:00,2270,19.49545,69.11139,554.0,1.182361,1.73727,2.155962,2.351901,,,,
2026-01-27T14:49:58+00:00,2271,19.49545,69.16479,553.0,1.094391,1.594937,1.971233,2.147334,,,,
2026-01-27T14:50:20+00:00,2272,19.48473,69.16479,557.0,1.595532,2.288082,2.804702,3.046471,,,,
2026-01-27T14:50:43+00:00,2273,19.48473,69.13428,559.0,1.453626,2.089314,2.564054,2.786226,,,,
2026-01-27T14:51:05+00:00,2274,19.48473,69.08087,556.0,1.488337,2.142762,2.631897,2.860805,,,,
2026-01-27T14:51:28+00:00,2275,19.47401,69.11139,555.0,1.387461,2.001388,2.460689,2.675633,,,,
2026-01-27T14:51:50+00:00,2276,19.48473,69.24109,555.0,2.329512,3.375868,4.160424,4.527583,,,,
2026-01-27T14:52:13+00:00,2277,19.47401,69.18768,552.0,1.20429,1.741753,2.14436,2.332772,,,,
2026-01-27T14:52:35+00:00,2278,19.47401,69.18768,548.0,1.519158,2.176623,2.666851,2.89627,,,,
2026-01-27T14:52:57+00:00,2279,19.47401,69.2182,545.0,1.383262,1.950315,2.36952,2.565701,,,,
2026-01-27T14:53:20+00:00,2280,19.46328,69.24109,547.0,1.365097,1.932521,2.352943,2.549694,,,,
2026-01-27T14:53:42+00:00,2281,19.46328,69.2182,547.0,1.430569,2.051384,2.514476,2.731195,,,,
2026-01-27T14:54:05+00:00,2282,19.45255,69.24109,547.0,1.227271,1.787404,2.208366,2.40537,,,,
2026-01-27T14:54:27+00:00,2283,19.45255,69.30212,544.0,1.229909,1.812796,2.253193,2.459291,,,,
2026-01-27T14:54:50+00:00,2284,19.45255,69.24109,543.0,1.358441,2.010893,2.504749,2.735866,,,,
2026-01-27T14:55:12+00:00,2285,19.45255,69.24109,542.0,1.464993,2.164639,2.69381,2.941454,,,,
2026-01-27T14:55:35+00:00,2286,19.45255,69.24109,546.0,1.191386,1.772234,2.21278,2.418948,,,,
2026-01-27T14:55:57+00:00,2287,19.44183,69.30212,548.0,1.583417,2.369531,2.967194,3.246891,,,,
2026-01-27T14:56:19+00:00,2288,19.44183,69.32501,549.0,1.256253,1.861319,2.319484,2.533897,,,,
2026-01-27T14:56:42+00:00,2289,19.44183,69.37842,543.0,1.728518,2.557462,3.184783,3.478358,,,,
2026-01-27T14:57:04+00:00,2290,19.44183,69.32501,541.0,1.389551,2.069503,2.585468,2.826931,,,,
2026-01-27T14:57:27+00:00,2291,19.44183,69.30212,540.0,1.333929,1.984573,2.478087,2.709044,,,,
2026-01-27T14:57:49+00:00,2292,19.43111,69.32501,541.0,1.262781,1.870803,2.331186,2.546637,,,,
2026-01-27T14:58:12+00:00,2293,19.44183,69.32501,540.0,1.265539,1.879477,2.34481,2.562578,,,,
